halt_id,halt_diva,halt_kurz,halt_lang,halt_ist_aktiv
2473,2251,SYFI,"Zürich, Schlyfi",True
2474,2342,MSEE,"Maur, See",True
2475,1498,LANA,"Unterengstringen, Langacher",True
2476,838,FSTR,"Schlieren, Feldstrasse",True
2478,1758,ODIE,"Dietikon, Oberdorf",True
2480,1759,OBDO,"Oetwil an der Limmat, Oberdorf",True
2481,1586,UKAN,"Urdorf, Kantiallee",True
2482,1587,LUCH,"Zürich, Luchswiesen",True
2483,3590,SONU,"Urdorf, Sonne",True
2484,753,DINN07,"Dübendorf, Innovationspark",True
2485,1843,OETW,"Dietikon, Oetwilerstrasse",True
2486,757,EIHH,"Kindhausen AG, Eichholz",True
2487,2005,PWOL,"Zürich, Post Wollishofen",True
2488,586,BUTZ,"Zürich, Butzenstrasse",True
2489,2008,PROB,"Zürich, Probstei",True
2490,6693,DGYR,"Dietikon, Gyrhalden",True
2491,6694,WEST,"Dietikon, Weidstrasse",True
2492,6695,DLAE,"Dietikon, Lätten",True
2496,6698,DWEI,"Dietikon, Weinberg",True
2497,2850,WELI07,"Wangen, Weidli",True
2498,6780,KOBE,"Kilchberg ZH, Obere Hornhalde",True
2499,6781,KEMI,"Kilchberg ZH, Emilienheim",True
2500,6782,KBRE,"Kilchberg ZH, Breitloo",True
2505,935,GASO,"Schlieren, Gasometerbrücke",True
2506,3774,BWOW,"Zürich, Bhf. Wollishofen/Werft",True
2508,2689,TUNN,"Zürich, Tunnelstrasse",True
2509,1856,OTTI,"Zürich, Ottikerstrasse",True
2510,2107,ROSW,"Zürich, Roswiesen",True
2511,2109,ROTE,"Zürich, Rote Fabrik",True
2514,6038,GALI,"Dietikon, Garage Limmatbus AG",True
2516,2869,WELB,"Geroldswil, Welbrig",True
2518,1862,PAEN,"Oberengstringen, Paradies",True
2520,1690,MULL,"Schlieren, Mülligen",True
2524,2551,BSEL,"Zürich, Bahnhof Selnau",True
2525,1723,FNEU,"Fällanden, Neuhus",True
2526,1122,HARP,"Zürich, Hardplatz",True
2527,1234,BANL,"Zürich, Bäckeranlage",True
2528,1158,HELV,"Zürich, Helvetiaplatz",True
2529,1076,GUET,"Zürich, Güterbahnhof",True
2530,92,AMSU,"Zürich, Am Suteracher",True
2531,2276,BUCL,"Zürich, Schulhaus Buchlern",True
2532,716,DUNK,"Zürich, Dunkelhölzli",True
2533,542,BRIS,"Zürich, Bristenstrasse",True
2534,6003,SOLP,"Zürich, Solidapark",True
2535,1570,LIND,"Zürich, Lindenplatz",True
2536,5001,BALN,"Zürich, Bahnhof Altstetten N",True
2537,1581,LOOG,"Zürich, Loogarten",True
2538,592,BAEN,"Zürich, Bändliweg",True
2539,852,FEUS,"Zürich, Feusisbergli",True
2540,3022,BALT,"Zürich, Bahnhof Altstetten",True
2541,1698,NEES,"Zürich, Neeserweg",True
2542,2033,RAUH,"Zürich, Rautihalde",True
